Marca temporal,Grado de estudios,Sexo,Edad (Años),Peso (kg),Altura (m),¿Tienes alguna enfermedad crónica o cardiovascular?,Días por semana de actividad física,Tiempo de ejercicio por día ,¿Fumas?,Número de veces promedio que te lavas las manos al día,¿Has tenido algún familiar con Covid-19 recientemente?,¿Usas cubrebocas en los lugares públicos?
2021/03/03 5:53:02 p. m. GMT-6,2° Semestre,Masculino,15 - 16,48,1.72,No,0,Nunca hago ejercicio,No,Entre 3 y 5,Sí,Sí
2021/03/03 5:53:30 p. m. GMT-6,4° Semestre,Femenino,15 - 16,64,1.65,No,0,Nunca hago ejercicio,No,7 o más,No,Sí
2021/03/03 5:53:51 p. m. GMT-6,2° Semestre,Femenino,15 - 16,65,1.73,No,1-3,30 min - 1h,No,Entre 3 y 5,No,Sí
2021/03/03 5:53:56 p. m. GMT-6,4° Semestre,Masculino,17 - 18,56,1.7,No,6-7,1h - 1h30,No,Entre 3 y 5,No,Sí
2021/03/03 5:54:06 p. m. GMT-6,4° Semestre,Masculino,17 - 18,59,1.75,No,1-3,1h30 - 2h,No,7 o más,No,Sí
2021/03/03 5:54:50 p. m. GMT-6,6° Semestre,Femenino,17 - 18,50,1.67,No,1-3,1h - 1h30,No,Entre 3 y 5,No,Sí
2021/03/03 5:54:51 p. m. GMT-6,4° Semestre,Masculino,15 - 16,80,1.62,No,1-3,30 min - 1h,No,7 o más,No,Sí
2021/03/03 5:54:51 p. m. GMT-6,2° Semestre,Femenino,15 - 16,50,1.64,No,1-3,Menos de 30 min,No,7 o más,Sí,Sí
2021/03/03 5:55:12 p. m. GMT-6,4° Semestre,Masculino,15 - 16,60,1.76,No,6-7,30 min - 1h,No,Entre 3 y 5,No,Sí
2021/03/03 5:55:36 p. m. GMT-6,2° Semestre,Masculino,15 - 16,48,1.67,No,1-3,30 min - 1h,No,Entre 3 y 5,No,Sí
2021/03/03 5:55:38 p. m. GMT-6,6° Semestre,Masculino,17 - 18,74,1.74,No,6-7,30 min - 1h,No,7 o más,No,Sí
2021/03/03 5:56:46 p. m. GMT-6,4° Semestre,Masculino,17 - 18,65,1.85,No,1-3,30 min - 1h,No,7 o más,Sí,Sí
2021/03/03 5:57:14 p. m. GMT-6,2° Semestre,Femenino,15 - 16,55,1.6,No,1-3,Menos de 30 min,No,7 o más,No,Sí
2021/03/03 5:57:19 p. m. GMT-6,6° Semestre,Femenino,17 - 18,68,1.7,No,1-3,30 min - 1h,No,Entre 3 y 5,No,Sí
2021/03/03 6:01:04 p. m. GMT-6,2° Semestre,Femenino,17 - 18,49,1.63,No,1-3,30 min - 1h,No,Entre 3 y 5,No,Sí
2021/03/03 6:02:09 p. m. GMT-6,4° Semestre,Femenino,15 - 16,58,1.6,No,1-3,Menos de 30 min,No,7 o más,Sí,Sí
